text,label
Government passes new scheme ,REAL
Scientists discover new planet, REAL
Celebrity died yesterday, FAKE
Earth will explode tomorrow,FAKE
New technology released by company,REAL
Stock market hits record high,REAL
New vaccine discovered by scientists,REAL
Aliens found living in ocean,FAKE
Government bans internet tomorrow,FAKE
Scientists create water from air,REAL
Moon will crash into earth next week,FAKE
New AI technology launched by company,REAL
World war starting tomorrow,FAKE
Researchers discover cure for rare disease,REAL
Time travel machine invented,FAKE
New technology released by company,REAL
Aliens landed in New York,FAKE
Stock market reaches new high,REAL
Doctor discovers new cancer cure,REAL
Drinking bleach cures diseases,FAKE
Moon made of cheese scientists say,FAKE
man claims he can fly naturally,FAKE
New smartphone launched by company,REAL
Miracle water cures all diseases,FAKE
Researchers find new vaccine,REAL
New solar power plant opened in Rajasthan,REAL
Scientists discover new species in Amazon forest,REAL
Government announces new scholarship program,REAL
Local hospital introduces advanced cancer treatment,REAL
Researchers develop faster internet technology,REAL
Man claims he can turn invisible at night,FAKE
Alien spaceship spotted above city mall,FAKE
Drinking only coffee for a year makes you immortal,FAKE
Secret society controls the world economy,FAKE
Time traveler warns about future disasters,FAKE
City installs new smart traffic management system,REAL
New railway line connects remote villages,REAL
Doctor says eating chocolate cures all diseases,FAKE
Hidden pyramid discovered under the ocean,FAKE
Company launches eco-friendly electric bus,REAL
Scientists say the moon will disappear next week,FAKE
Government starts free vaccination drive,REAL
New mobile app helps farmers predict weather,REAL
Magic pill allows fly in the air,FAKE
Robot becomes president of a country,FAKE
Researchers develop new battery that lasts 10 days,REAL
Government launches nationwide digital education program,REAL
Scientists confirm dinosaurs are still living underground,FAKE
Man claims eating only ice cream makes you live 200 years,FAKE
New satellite launched to improve weather forecasting,REAL
Scientists develop new AI chip for faster computing,REAL
Government opens new medical college in rural area,REAL
Man claims earth will stop spinning tomorrow,FAKE
Reasearchesrs discover new treatment for diabetes,REAL
Invisible dragaon seen flying over mountains,FAKE
